Node_id,DEG,DC,BC,CC,EC,CEN,ECC,RAD,Target_group_score_normalized,Conectivity_score_topo
CPX-150,Up,0.3461178671655753,0.0899305156708863,0.815986031622854,0.5761168330210485,0.3729255571360834,0.75,0.9101841768855642,0.1,1.02020357173057
CPX-2393,Down,0.2170252572497661,0.0575183384374792,0.7700476016111316,0.2825420967772191,0.4879089615931721,0.75,0.8810662373940628,0.1,0.673263343758729
CPX-7482,Down,0.2188961646398503,0.058223584369898,0.7701886101446622,0.2837555145578523,0.4874348032242769,0.75,0.881160929880214,0.1,0.676848941165314
TACO1,Down,0.0439663236669784,0.0115905229593226,0.6700653178269874,0.0143868559690298,0.8129445234708392,0.6000000000000001,0.8038918611808152,0.1,0.549910942276142
CPX-2806,Down,0.0851262862488306,0.0405678809356352,0.6969922943077307,0.0228785683660077,0.7432432432432432,0.6000000000000001,0.8268547890724871,0.1,0.657867625234294
MEGF8,Down,0.0018709073900841,1.40500051e-07,0.5973159128026699,0.0017183037566851,0.9812707444286392,0.6000000000000001,0.7314994555182046,0.1,0.566964484122232
FKBP10,Up,0.0533208606173994,0.0299548840004451,0.660023538642605,0.0415157807791016,0.9196301564722618,0.6000000000000001,0.7948487287533734,0.1,0.53941431618152
ANTXR1,Up,0.029934518241347,0.0027523713209909,0.6345805672902837,0.0484105845154086,0.9345661450924608,0.6000000000000001,0.7706547985417358,0.1,0.731367259973022
GPC4,Up,0.0065481758652946,0.0002852934027667,0.6643500236929395,0.0147884741426868,0.8454243717401612,0.6000000000000001,0.7987784669286492,0.1,0.412358471624786
CPX-4663,Up,0.0289990645463049,0.0058284965201116,0.657701329163409,0.0200163198758101,0.9253200568990044,0.6000000000000001,0.7927181478149709,0.1,0.741481478472183
UGP2,Down,0.0514499532273152,0.0344688146969034,0.6781136638452238,0.0150203282845425,0.8340445708866762,0.6000000000000001,0.8109464513990814,0.1,0.725242200113179
ERAL1,Down,0.0411599625818522,0.0048952311973347,0.6532070197235597,0.0129660949198857,0.9461830251303937,0.6000000000000001,0.7885516784243171,0.1,0.504902329325301
CPX-2643,Up,0.088868101028999,0.017556624612321,0.7126397831243647,0.2085766370024642,0.696538643907065,0.6000000000000001,0.8394015434875243,0.1,0.662573995307187
CPX-6701,Down,0.0551917680074836,0.0189000637110139,0.7015261446084564,0.0185383090311219,0.7358937885253675,0.6000000000000001,0.8305477960323849,0.1,0.550653675634675
CPX-7461,Down,0.117867165575304,0.0130075332228005,0.6999500748876686,0.2148723170050842,0.7472735893788526,0.6000000000000001,0.8292694474693434,0.1,0.902721718548793
OPHN1,Up,0.029934518241347,0.011030860411761,0.655344344032409,0.0162587216993984,0.9272166903745852,0.6000000000000001,0.7905402206334927,0.1,0.628912347717049
ELOVL5,Up,0.0280636108512628,0.0125093422239201,0.6640877871634958,0.0156178164485889,0.8366524419155998,0.6000000000000001,0.7985417357132711,0.1,0.698552351164243
